PassengerId,Survived,Pclass,Sex,Age,Embarked,transformed_fare_boxcox,family_size
219,1.0,first,female,32.0,C,4.5696911238312605,0
220,0.0,second,male,30.0,S,2.5607050610158515,0
221,1.0,third,male,16.0,S,2.298741416634416,0
222,0.0,second,male,27.0,S,2.777603181054726,0
223,0.0,third,male,51.0,S,2.298741416634416,0
224,0.0,third,male,28.0,S,2.2800430731121577,0
225,1.0,first,male,38.0,S,4.5696911238312605,1
226,0.0,third,male,22.0,S,2.4452046099438935,0
227,1.0,second,male,19.0,S,2.5607050610158515,0
228,0.0,third,male,20.5,S,2.1981882907468275,0
229,0.0,second,male,18.0,S,2.777603181054726,0
230,0.0,third,female,28.0,S,3.4911488239960256,4
231,1.0,first,female,35.0,S,4.5696911238312605,1
232,0.0,third,male,29.0,S,2.2651758202163546,0
233,0.0,second,male,59.0,S,2.816468554900923,0
234,1.0,third,female,5.0,S,3.721026028519933,6
235,0.0,second,male,24.0,S,2.5607050610158515,0
236,0.0,third,female,28.0,S,2.2369519931547996,0
237,0.0,second,male,44.0,S,3.513785040735813,1
238,1.0,second,female,8.0,S,3.524248808557397,2
239,0.0,second,male,19.0,S,2.5607050610158515,0
240,0.0,second,male,33.0,S,2.7188093496957024,0
241,0.0,third,female,28.0,C,2.887189329279823,1
242,1.0,third,female,28.0,Q,2.9600298510183527,1
243,0.0,second,male,29.0,S,2.5607050610158515,0
244,0.0,third,male,22.0,S,2.1816352222251414,0
245,0.0,third,male,30.0,C,2.194897059312226,0
246,0.0,first,male,44.0,Q,4.5696911238312605,2
247,0.0,third,female,25.0,S,2.2651758202163546,0
248,1.0,second,female,24.0,S,2.890477249736815,2
249,1.0,first,male,37.0,S,4.301499390979261,2
250,0.0,second,male,54.0,S,3.513785040735813,1
251,0.0,third,male,28.0,S,2.1981882907468275,0
252,0.0,third,female,29.0,S,2.5571174906961325,2
253,0.0,first,male,62.0,S,3.5366841629052153,0
254,0.0,third,male,30.0,S,2.999840590640557,1
255,0.0,third,female,41.0,S,3.2412103080278363,2
256,1.0,third,female,29.0,C,2.942741925808172,2
257,1.0,first,female,28.0,C,4.5696911238312605,0
258,1.0,first,female,30.0,S,4.5696911238312605,0
259,1.0,first,female,35.0,C,4.5696911238312605,0
260,1.0,second,female,50.0,S,3.513785040735813,1
261,0.0,third,male,28.0,Q,2.2620744220130624,0
262,1.0,third,male,3.0,S,3.721026028519933,6
263,0.0,first,male,52.0,S,4.5696911238312605,2
264,0.0,first,male,40.0,S,0.0,0
265,0.0,third,female,28.0,Q,2.2620744220130624,0
266,0.0,second,male,36.0,S,2.5607050610158515,0
267,0.0,third,male,16.0,S,3.982964745615282,5
268,1.0,third,male,25.0,S,2.2651758202163546,1
269,1.0,first,female,58.0,S,4.5696911238312605,1
270,1.0,first,female,35.0,S,4.5696911238312605,0
271,0.0,first,male,28.0,S,3.707270386507969,0
272,1.0,third,male,25.0,S,0.0,0
273,1.0,second,female,41.0,S,3.202811757277666,1
274,0.0,first,male,37.0,C,3.6599229152578325,1
275,1.0,third,female,28.0,Q,2.2620744220130624,0
276,1.0,first,female,63.0,S,4.5696911238312605,1
277,0.0,third,female,45.0,S,2.2620744220130624,0
278,0.0,second,male,28.0,S,0.0,0
279,0.0,third,male,7.0,Q,3.638362694208615,5
280,1.0,third,female,35.0,S,3.243196767681371,2
281,0.0,third,male,65.0,Q,2.2620744220130624,0
282,0.0,third,male,28.0,S,2.2749452586250603,0
283,0.0,third,male,16.0,S,2.4609505506652085,0
284,1.0,third,male,19.0,S,2.298741416634416,0
285,0.0,first,male,28.0,S,3.513785040735813,0
286,0.0,third,male,33.0,C,2.3701073156699786,0
287,1.0,third,male,30.0,S,2.4609505506652085,0
288,0.0,third,male,22.0,S,2.2800430731121577,0
289,1.0,second,male,42.0,S,2.777603181054726,0
290,1.0,third,female,22.0,Q,2.2620744220130624,0
291,1.0,first,female,26.0,S,4.5696911238312605,0
292,1.0,first,female,19.0,C,4.5696911238312605,1
293,0.0,second,male,36.0,C,2.767678346479938,0
294,0.0,third,female,24.0,S,2.3910856100275844,0
295,0.0,third,male,24.0,S,2.2800430731121577,0
296,0.0,first,male,28.0,C,3.5840008578674367,0
297,0.0,third,male,23.5,C,2.1954506578746154,0
298,0.0,first,female,2.0,S,4.5696911238312605,3
299,1.0,first,male,28.0,S,3.689282557871479,0
300,1.0,first,female,50.0,C,4.5696911238312605,1
301,1.0,third,female,28.0,Q,2.2620744220130624,0
302,1.0,third,male,28.0,Q,3.3921027583016867,2
303,0.0,third,male,19.0,S,0.0,0
304,1.0,second,female,28.0,Q,2.725032810698306,0
305,0.0,third,male,28.0,S,2.298741416634416,0
306,1.0,first,male,0.92,S,4.5696911238312605,3
307,1.0,first,female,28.0,C,4.5696911238312605,0
308,1.0,first,female,17.0,C,4.5696911238312605,1
309,0.0,second,male,30.0,C,3.426554954838462,1
310,1.0,first,female,30.0,C,4.393153331530308,0
311,1.0,first,female,24.0,C,4.5696911238312605,0
312,1.0,first,female,18.0,C,4.5696911238312605,4
313,0.0,second,female,26.0,S,3.513785040735813,2
314,0.0,third,male,28.0,S,2.2800430731121577,0
315,0.0,second,male,43.0,S,3.524248808557397,2
316,1.0,third,female,26.0,S,2.2749452586250603,0
317,1.0,second,female,24.0,S,3.513785040735813,1
318,0.0,second,male,54.0,S,2.8540660389277113,0
319,1.0,first,female,31.0,S,4.5696911238312605,2
320,1.0,first,female,40.0,C,4.5696911238312605,2
321,0.0,third,male,22.0,S,2.1981882907468275,0
322,0.0,third,male,27.0,S,2.2800430731121577,0
323,1.0,second,female,30.0,Q,2.725032810698306,0
324,1.0,second,female,22.0,S,3.633623358212787,2
325,0.0,third,male,28.0,S,4.5696911238312605,10
326,1.0,first,female,36.0,C,4.5696911238312605,0
327,0.0,third,male,61.0,S,2.0565405654619724,0
328,1.0,second,female,36.0,S,2.777603181054726,0
329,1.0,third,female,31.0,S,3.2576619762286407,2
330,1.0,first,female,16.0,C,4.414158247883995,1
331,1.0,third,female,28.0,Q,3.3921027583016867,2
332,0.0,first,male,45.5,S,3.6144741787941834,0
333,0.0,first,male,38.0,S,4.5696911238312605,1
334,0.0,third,male,16.0,S,3.1175925678666054,2
335,1.0,first,female,28.0,S,4.5696911238312605,1
336,0.0,third,male,28.0,S,2.2800430731121577,0
337,0.0,first,male,29.0,S,4.5696911238312605,1
338,1.0,first,female,41.0,C,4.5696911238312605,0
339,1.0,third,male,45.0,S,2.298741416634416,0
340,0.0,first,male,45.0,S,3.857983801189261,0
341,1.0,second,male,2.0,S,3.513785040735813,2
342,1.0,first,female,24.0,S,4.5696911238312605,5
343,0.0,second,male,28.0,S,2.777603181054726,0
344,0.0,second,male,25.0,S,2.777603181054726,0
345,0.0,second,male,36.0,S,2.777603181054726,0
346,1.0,second,female,24.0,S,2.777603181054726,0
347,1.0,second,female,40.0,S,2.777603181054726,0
348,1.0,third,female,28.0,S,2.999840590640557,1
349,1.0,third,male,3.0,S,2.9867216682810525,2
350,0.0,third,male,42.0,S,2.3701073156699786,0
351,0.0,third,male,23.0,S,2.431914461374176,0
352,0.0,first,male,28.0,S,3.842148515220089,0
353,0.0,third,male,15.0,C,2.1954506578746154,2
354,0.0,third,male,25.0,S,3.105744333609867,1
355,0.0,third,male,28.0,C,2.194897059312226,0
356,0.0,third,male,28.0,S,2.4609505506652085,0
357,1.0,first,female,22.0,S,4.3535878320536785,1
358,0.0,second,female,38.0,S,2.777603181054726,0
359,1.0,third,female,28.0,Q,2.2780116031497357,0
360,1.0,third,female,28.0,Q,2.2780116031497357,0
361,0.0,third,male,40.0,S,3.5910788749873976,5
362,0.0,second,male,29.0,C,3.5840008578674367,1
363,0.0,third,female,45.0,C,2.887189329279823,1
364,0.0,third,male,35.0,S,2.1715854424073235,0
365,0.0,third,male,28.0,Q,2.9600298510183527,1
366,0.0,third,male,30.0,S,2.1981882907468275,0
367,1.0,first,female,60.0,C,4.5696911238312605,1
368,1.0,third,female,28.0,C,2.1954506578746154,0
369,1.0,third,female,28.0,Q,2.2620744220130624,0
370,1.0,first,female,24.0,C,4.5696911238312605,0
371,1.0,first,male,25.0,C,4.362760970177156,1
372,0.0,third,male,18.0,S,2.0944060919178,1
373,0.0,third,male,19.0,S,2.298741416634416,0
374,0.0,first,male,22.0,C,4.5696911238312605,0
375,0.0,third,female,3.0,S,3.286066879684541,4
376,1.0,first,female,28.0,C,4.5696911238312605,1
377,1.0,third,female,22.0,S,2.1981882907468275,0
378,0.0,first,male,27.0,C,4.5696911238312605,2
379,0.0,third,male,20.0,C,1.6629377238712997,0
380,0.0,third,male,19.0,S,2.2651758202163546,0
381,1.0,first,female,42.0,C,4.5696911238312605,0
382,1.0,third,female,1.0,C,2.976231765834233,2
383,0.0,third,male,32.0,S,2.2836076731051764,0
384,1.0,first,female,35.0,S,4.289378979298662,1
385,0.0,third,male,28.0,S,2.2800430731121577,0
386,0.0,second,male,18.0,S,4.5696911238312605,0
387,0.0,third,male,1.0,S,4.171744290884533,7
388,1.0,second,female,36.0,S,2.777603181054726,0
389,0.0,third,male,28.0,Q,2.2594875583004086,0
390,1.0,second,female,17.0,C,2.695697048339979,0
391,1.0,first,male,36.0,S,4.5696911238312605,3
392,1.0,third,male,21.0,S,2.26774971533858,0
393,0.0,third,male,28.0,S,2.2836076731051764,2
394,1.0,first,female,23.0,C,4.5696911238312605,1
395,1.0,third,female,24.0,S,3.0383301841784434,2
396,0.0,third,male,22.0,S,2.26774971533858,0
397,0.0,third,female,31.0,S,2.2749452586250603,0
398,0.0,second,male,46.0,S,3.513785040735813,0
399,0.0,second,male,23.0,S,2.5607050610158515,0
400,1.0,second,female,28.0,S,2.7495950041317436,0
401,1.0,third,male,39.0,S,2.2836076731051764,0
402,0.0,third,male,26.0,S,2.298741416634416,0
403,0.0,third,female,21.0,S,2.4943376391827377,1
404,0.0,third,male,28.0,S,2.983418614506399,1
405,0.0,third,female,20.0,S,2.3701073156699786,0
406,0.0,second,male,34.0,S,3.2822338191845852,1
407,0.0,third,male,51.0,S,2.2620744220130624,0
408,1.0,second,male,3.0,S,3.16098028731346,2
409,0.0,third,male,21.0,S,2.2651758202163546,0
410,0.0,third,female,28.0,S,3.4911488239960256,4
411,0.0,third,male,28.0,S,2.2800430731121577,0
412,0.0,third,male,28.0,Q,2.1454832392549057,0
413,1.0,first,female,33.0,Q,4.5696911238312605,1
414,0.0,second,male,28.0,S,0.0,0
415,1.0,third,male,44.0,S,2.2836076731051764,0
416,0.0,third,female,28.0,S,2.298741416634416,0
417,1.0,second,female,34.0,S,3.7596561668135062,2
418,1.0,second,female,18.0,S,2.777603181054726,2
419,0.0,second,male,30.0,S,2.777603181054726,0
420,0.0,third,female,10.0,S,3.433325976064744,2
421,0.0,third,male,28.0,C,2.2800430731121577,0
422,0.0,third,male,21.0,Q,2.259997937603898,0
423,0.0,third,male,29.0,S,2.277497037910023,0
424,0.0,third,female,28.0,S,2.8832862579172955,2
425,0.0,third,male,18.0,S,3.2412103080278363,2
426,0.0,third,male,28.0,S,2.1981882907468275,0
427,1.0,second,female,28.0,S,3.513785040735813,1
428,1.0,second,female,19.0,S,3.513785040735813,0
429,0.0,third,male,28.0,Q,2.2620744220130624,0
430,1.0,third,male,32.0,S,2.298741416634416,0
431,1.0,first,male,28.0,S,3.5366841629052153,0
432,1.0,third,female,28.0,S,2.999840590640557,1
433,1.0,second,female,42.0,S,3.513785040735813,1
434,0.0,third,male,17.0,S,2.1816352222251414,0
435,0.0,first,male,50.0,S,4.372206173860061,1
436,1.0,first,female,14.0,S,4.5696911238312605,3
437,0.0,third,female,21.0,S,3.8220543195361,4
438,1.0,second,female,24.0,S,3.16098028731346,5
439,0.0,first,male,64.0,S,4.5696911238312605,5
440,0.0,second,male,31.0,S,2.5607050610158515,0
441,1.0,second,female,45.0,S,3.524248808557397,2
442,0.0,third,male,20.0,S,2.4609505506652085,0
443,0.0,third,male,25.0,S,2.2651758202163546,1
444,1.0,second,female,28.0,S,2.777603181054726,0
445,1.0,third,male,28.0,S,2.306233074745864,0
446,1.0,first,male,4.0,S,4.5696911238312605,2
447,1.0,second,female,13.0,S,3.202811757277666,1
448,1.0,first,male,34.0,S,3.5366841629052153,0
449,1.0,third,female,5.0,C,3.1894938712257237,3
450,1.0,first,male,52.0,S,3.689282557871479,0
451,0.0,second,male,36.0,S,3.585157086399766,3
452,0.0,third,male,28.0,S,3.2281055102275005,1
453,0.0,first,male,30.0,C,3.585157086399766,0
454,1.0,first,male,49.0,C,4.5696911238312605,1
455,0.0,third,male,28.0,S,2.298741416634416,0
456,1.0,third,male,29.0,C,2.2800430731121577,0
457,0.0,first,male,65.0,S,3.5366841629052153,0
458,1.0,first,female,28.0,S,4.286352973503965,1
459,1.0,second,female,50.0,S,2.5607050610158515,0
460,0.0,third,male,28.0,Q,2.2620744220130624,0
461,1.0,first,male,48.0,S,3.5366841629052153,0
462,0.0,third,male,34.0,S,2.298741416634416,0
463,0.0,first,male,47.0,S,3.948827594903992,0
464,0.0,second,male,48.0,S,2.777603181054726,0
465,0.0,third,male,28.0,S,2.298741416634416,0
466,0.0,third,male,38.0,S,2.1715854424073235,0
467,0.0,second,male,28.0,S,0.0,0
468,0.0,first,male,56.0,S,3.5366841629052153,0
469,0.0,third,male,28.0,Q,2.2589644916624025,0
470,1.0,third,female,0.75,C,3.1894938712257237,3
471,0.0,third,male,28.0,S,2.1981882907468275,0
472,0.0,third,male,38.0,S,2.3701073156699786,0
473,1.0,second,female,33.0,S,3.585157086399766,3
474,1.0,second,female,23.0,C,2.838551583287251,0
475,0.0,third,female,22.0,S,2.495602422758623,0
476,0.0,first,male,28.0,S,4.289378979298662,0
477,0.0,second,male,34.0,S,3.2822338191845852,1
478,0.0,third,male,29.0,S,2.17101999606031,1
479,0.0,third,male,22.0,S,2.233236930493999,0
480,1.0,third,female,2.0,S,2.7198489372990315,1
481,0.0,third,male,9.0,S,4.171744290884533,7
482,0.0,second,male,28.0,S,0.0,0
483,0.0,third,male,50.0,S,2.298741416634416,0
484,1.0,third,female,63.0,S,2.47003609177003,0
485,1.0,first,male,25.0,C,4.5696911238312605,1
486,0.0,third,female,28.0,S,3.4911488239960256,4
487,1.0,first,female,35.0,S,4.5696911238312605,1
488,0.0,first,male,58.0,C,3.6599229152578325,0
489,0.0,third,male,30.0,S,2.298741416634416,0
490,1.0,third,male,9.0,S,2.9867216682810525,2
491,0.0,third,male,28.0,S,3.2281055102275005,1
492,0.0,third,male,21.0,S,2.1981882907468275,0
493,0.0,first,male,55.0,S,3.689282557871479,0
494,0.0,first,male,71.0,C,4.233240070724257,0
495,0.0,third,male,21.0,S,2.298741416634416,0
496,0.0,third,male,28.0,C,2.8874840443391774,0
497,1.0,first,female,54.0,C,4.5696911238312605,1
498,0.0,third,male,28.0,S,2.9327084394228686,0
499,0.0,first,female,25.0,S,4.5696911238312605,3
500,0.0,third,male,24.0,S,2.26774971533858,0
501,0.0,third,male,17.0,S,2.3701073156699786,0
502,0.0,third,female,21.0,Q,2.2620744220130624,0
503,0.0,third,female,28.0,Q,2.2469673774744767,0
504,0.0,third,female,37.0,S,2.47003609177003,0
505,1.0,first,female,16.0,S,4.5696911238312605,0
506,0.0,first,male,18.0,C,4.5696911238312605,1
507,1.0,second,female,33.0,S,3.513785040735813,2
508,1.0,first,male,28.0,S,3.5366841629052153,0
509,0.0,third,male,28.0,S,3.3578108852272854,0
510,1.0,third,male,26.0,S,4.384376372619725,0
511,1.0,third,male,29.0,Q,2.2620744220130624,0
512,0.0,third,male,28.0,S,2.298741416634416,0
513,1.0,first,male,36.0,S,3.5258104067576883,0
514,1.0,first,female,54.0,C,4.44201556164576,1
515,0.0,third,male,24.0,S,2.2300464861333555,0
516,0.0,first,male,47.0,S,3.8105144514770175,0
517,1.0,second,female,34.0,S,2.5607050610158515,0
518,0.0,third,male,28.0,Q,3.433325976064744,0
519,1.0,second,female,36.0,S,3.513785040735813,1
520,0.0,third,male,32.0,S,2.2800430731121577,0
521,1.0,first,female,30.0,S,4.5696911238312605,0
522,0.0,third,male,22.0,S,2.2800430731121577,0
523,0.0,third,male,28.0,C,2.194897059312226,0
